# eta[dimensionless] P[GPa]
4.295672976580336311e+00 1.298823443920698821e+02
4.276532943216084348e+00 1.465997273695130616e+02
4.258388763503650587e+00 1.658433464111273850e+02
4.242085372336955373e+00 1.879520201718388535e+02
4.227830785748075471e+00 2.132798256832601567e+02
4.215368576823661506e+00 2.422326545200928365e+02
4.206157790620112635e+00 2.752028490510023175e+02
4.203034439239844211e+00 3.125951970686053301e+02
4.206486430695086653e+00 3.549293160320756897e+02
4.211334386798367468e+00 4.029203751766052619e+02
4.205600519214517163e+00 4.576288060223316734e+02
4.336656570951675782e+00 5.311326779182935525e+02
4.316036354079953341e+00 6.070554483981193243e+02
4.297326097137550427e+00 6.933503004267688539e+02
4.280071351565343463e+00 7.912730786903244962e+02
4.264133249848268470e+00 9.021517279542057395e+02
4.249120233571301419e+00 1.027443259129506259e+03
4.235019040297385295e+00 1.168778199937243926e+03
4.221483404782287785e+00 1.327906324815216522e+03
4.208552826150656401e+00 1.506829931192569575e+03
4.196143031776544241e+00 1.707787864842453473e+03
4.184191450330319917e+00 1.933212910793976334e+03
4.172590315678934125e+00 2.185942292280126821e+03
4.161563835718602888e+00 2.469118253292532700e+03
4.150929060031658402e+00 2.786311344575758085e+03
4.140683261468635301e+00 3.141392256210018786e+03
4.130917175670437480e+00 3.538904441855672758e+03
4.121643792926046324e+00 3.983923095209311214e+03
4.112721341657758600e+00 4.481939680585185670e+03
4.104244064092434030e+00 5.039547461854760513e+03
4.096389486245642253e+00 5.663974535476175333e+03
4.088849839647796358e+00 6.362967900915727114e+03
4.081787998883641855e+00 7.145921205341019231e+03
4.075181235142852465e+00 8.023105026195587925e+03
4.069058909619408304e+00 9.005875932810118684e+03
4.063314731031153926e+00 1.010716905097068957e+04
4.058065570269780764e+00 1.134159981565670932e+04
4.053169551302964635e+00 1.272505170568279027e+04
4.048655707497851530e+00 1.427620240005177220e+04
4.044495532055904619e+00 1.601521649129768412e+04
4.040650406295402952e+00 1.796535999616265326e+04
4.037248601424238359e+00 2.015282555266788040e+04
4.033968740872560410e+00 2.260533485360533814e+04
4.031145050858305545e+00 2.535681047241599299e+04
4.028652672726586559e+00 2.844370990145422547e+04
