# eta[dimensionless] P[GPa]
2.075019636936351830e+00 6.216994198503211777e-01
2.106457268179392273e+00 6.873978647437073430e-01
2.136417689126849151e+00 7.605626771549128806e-01
2.156878859861318443e+00 8.316932115527866376e-01
2.174556842558954983e+00 9.067930052964069398e-01
2.194646383890423103e+00 9.918163670897941486e-01
2.218302135294200284e+00 1.088656741163154029e+00
2.245056153135986499e+00 1.197791402708977770e+00
2.273896518513166765e+00 1.319047005855413568e+00
2.302695700401049983e+00 1.452413620887996970e+00
2.329378281232615144e+00 1.596361748455823681e+00
2.355545803094756252e+00 1.754368385756435833e+00
2.384260050033473632e+00 1.932191223347451414e+00
2.415590062463688348e+00 2.131214913678386225e+00
2.446661861909988911e+00 2.349065518689043675e+00
2.476000140968150909e+00 2.585274816503182027e+00
2.506238289711935074e+00 2.844842704550003543e+00
2.540425796936967906e+00 3.135134308587348428e+00
2.577949525287864141e+00 3.462024402595687445e+00
2.616565616809071404e+00 3.828294614492040449e+00
2.653627868715342952e+00 4.229275255085703122e+00
2.686298586625990303e+00 4.655574619995584307e+00
2.717367675782522696e+00 5.112472147490956687e+00
2.755943213213473353e+00 5.631615416262181206e+00
2.804640487825793116e+00 6.232133258579626300e+00
2.852852555109251398e+00 6.891696549939882566e+00
2.891871309214365748e+00 7.597788903634138613e+00
2.928974100876131637e+00 8.384226580294535935e+00
2.974913446078641499e+00 9.287219282941961751e+00
3.028605363620811008e+00 1.030202617469533521e+01
3.081988404563243744e+00 1.141060724919017666e+01
3.134696826939873837e+00 1.263467160459571659e+01
3.192143355506995572e+00 1.401035749148605092e+01
3.258399400994003603e+00 1.555473428210737019e+01
3.337520750918099743e+00 1.729456805086644167e+01
3.434294315466808190e+00 1.928418597316656857e+01
3.548408507846524174e+00 2.153074980492656465e+01
3.684616888482282526e+00 2.403254620089725790e+01
3.888129019114430207e+00 2.707833360164046610e+01
4.211046657033093332e+00 3.119054261078373003e+01
4.580831035759215908e+00 3.626914654842407515e+01
4.863690203588776129e+00 4.187069369339201330e+01
5.120196172210360608e+00 4.838561989337398472e+01
5.303104128375185411e+00 5.651257074908624389e+01
5.417561648017332310e+00 6.631649564569168831e+01
5.453992187241071044e+00 7.758548619014187864e+01
5.443616040450922178e+00 9.036034824736394455e+01
5.419080364934017346e+00 1.048849178446259600e+02
5.401318096324892792e+00 1.216405200228923889e+02
5.394740842418454640e+00 1.412503037080957711e+02
5.388156424645521803e+00 1.640216819222947322e+02
5.371908968653417382e+00 1.900889840334554606e+02
5.345976607441484063e+00 2.199782763870903750e+02
5.309710368412196679e+00 2.544283609482741326e+02
5.260806091148745089e+00 2.939728490373534555e+02
5.203050514502070456e+00 3.393672909342844264e+02
5.139368349412752224e+00 3.921525248766735672e+02
5.056152245863623662e+00 4.550007804881481661e+02
4.940418486216211491e+00 5.311159986595615692e+02
4.790937409804845615e+00 6.209947662754958628e+02
4.631701586949264815e+00 7.197982523895633449e+02
4.513381945687311436e+00 8.234856611004697697e+02
4.450515130416130560e+00 9.375432923888566847e+02
4.418492349531753405e+00 1.068538408687035599e+03
4.405803613638145322e+00 1.216740448776231233e+03
4.404930593959393015e+00 1.383890891370615691e+03
4.406753894971273233e+00 1.577277127088998668e+03
4.416789870576099730e+00 1.803940298552626700e+03
4.424783141406535947e+00 2.049608875904776596e+03
4.488305081700308286e+00 2.339640819794495201e+03
5.153021910101510450e+00 3.040613009543948010e+03
6.183618880526374539e+00 4.090824281182004142e+03
5.772090207577743826e+00 4.282268287477814738e+03
4.486831274103808553e+00 3.752629433637424427e+03
3.940606869945732171e+00 3.724617813998760994e+03
3.912742089087565933e+00 4.169040618327986522e+03
3.928705058765194380e+00 4.715048574500091490e+03
3.939096233000129121e+00 5.322493630999567358e+03
3.947770066174920878e+00 6.003183442116584956e+03
3.955352460010101545e+00 6.765766046420585553e+03
3.962752380548419051e+00 7.620857159739259259e+03
3.969526609870604350e+00 8.579210807473456953e+03
3.974623679325452574e+00 9.652469864219769079e+03
3.978175761592011028e+00 1.085543045524453191e+04
3.981637175928550487e+00 1.220596338517152435e+04
3.984779093724433618e+00 1.372065935473886566e+04
3.986726799977537983e+00 1.541704986022151388e+04
3.988685222258562035e+00 1.731810921757316464e+04
3.991996684392198791e+00 1.945266727084561717e+04
3.995210858079367711e+00 2.184926909950984918e+04
3.996693389578249267e+00 2.453658546788129388e+04
3.998041083477867907e+00 2.754794921930968121e+04
3.999573656086395257e+00 3.092458941961437085e+04
4.000184943107826463e+00 3.471557255777998944e+04
4.000072874964955005e+00 3.896719455621032102e+04
4.000602065659680129e+00 4.374313739022556547e+04
4.002624715535809230e+00 4.911220034671867325e+04
4.004444771749374077e+00 5.512379095101720304e+04
4.005646976185597730e+00 6.186599779382867564e+04
4.006687707831620315e+00 6.944367970962113759e+04
4.006658354424374124e+00 7.793681724658109306e+04
4.007143288725369956e+00 8.746300861681468086e+04
4.008922424244507177e+00 9.817753343723033322e+04
4.010884532971103589e+00 1.102211285411230638e+05
4.012814886795371905e+00 1.237340766311673506e+05
4.014576883532306795e+00 1.388959584422464541e+05
4.016235419520242544e+00 1.559175736415135325e+05
4.014768438332494860e+00 1.748866496640139667e+05
4.016079241301469871e+00 2.202496906889258535e+05
2.067467597996796247e+00 5.803736697327214200e-01
2.075019636936351830e+00 6.216994198503211777e-01
