# eta[dimensionless] P[GPa]
2.895270949903673063e+00 1.307350520200632893e+01
3.118850338631119712e+00 1.532113183013016666e+01
3.352750139420327180e+00 1.779193638105506992e+01
3.573669107012321433e+00 2.041263672952654318e+01
3.771544378379502405e+00 2.311151296547970801e+01
3.934899272886118293e+00 2.588260339143340616e+01
4.069346344937835092e+00 2.873604402878986974e+01
4.176604497315938858e+00 3.175275663487843048e+01
4.258930447874105241e+00 3.502477962464976002e+01
4.321001702439663639e+00 3.857499691689112353e+01
4.370391568195611143e+00 4.255021840827777169e+01
4.417040906538942657e+00 4.716988920529853857e+01
4.454049573870048739e+00 5.237368307871241058e+01
4.474785429855809404e+00 5.807785499948130337e+01
4.486527534783913751e+00 6.446988715967310668e+01
4.495849889413637612e+00 7.177708257042948503e+01
4.505502806916820369e+00 8.019453607669841233e+01
4.517138987722117527e+00 8.992396544539900560e+01
4.531794353533356912e+00 1.011923057606393286e+02
4.550229881729817905e+00 1.142766848624735587e+02
4.572684926113768533e+00 1.294917554726927449e+02
4.599476364919744320e+00 1.472156052384742679e+02
4.632075983785856721e+00 1.679421220313641925e+02
4.659793226246646825e+00 1.916386278025077843e+02
4.598432197299852753e+00 2.142039503050483518e+02
4.394163429116271224e+00 2.313614871679624230e+02
4.199425693745074462e+00 2.505357882444220365e+02
4.125800298015599665e+00 2.800819030382754136e+02
4.112244066995248915e+00 3.181523241735616807e+02
4.082712396741930760e+00 3.597530494508120000e+02
3.873354958511532331e+00 3.868169263240881719e+02
3.575178318994244098e+00 4.013632074748558693e+02
3.754493086823903703e+00 4.711625820805102762e+02
4.143869175134631710e+00 5.898764986221673325e+02
4.282588273499864151e+00 6.978007661831341011e+02
4.277362241600577875e+00 7.982212071548291306e+02
4.260939267023395871e+00 9.096517796317351667e+02
4.246166448539931970e+00 1.035703484887618743e+03
4.231919774232245857e+00 1.177773881965304099e+03
4.218480859726509991e+00 1.337733147616133465e+03
4.205680512906754487e+00 1.517641670053625376e+03
4.193417450898933474e+00 1.719727792451863706e+03
4.181673795755300738e+00 1.946476826004053237e+03
4.170289789679771708e+00 2.200667227033689414e+03
4.159233248664564009e+00 2.485443848591858114e+03
4.148605711965382525e+00 2.804478553698302676e+03
4.138359994438879141e+00 3.161757735191734355e+03
4.128542684447631395e+00 3.561686913893339351e+03
4.119329811920204421e+00 4.009377663229789960e+03
4.110568881396773122e+00 4.510446421932033445e+03
4.102151812997541391e+00 5.071346217053994224e+03
4.094467071308017125e+00 5.699646289796453857e+03
4.087293991551089078e+00 6.403308368826073092e+03
4.080326139568742683e+00 7.191014422045670472e+03
4.073673887412526007e+00 8.073344181463405221e+03
4.067371628356606372e+00 9.062063942045562726e+03
4.061573715646334293e+00 1.017012658014143381e+04
4.056344669221799926e+00 1.141227459380433356e+04
4.051532806599342784e+00 1.280464000842705173e+04
4.047112914915409476e+00 1.436568925528976251e+04
4.043073148848233878e+00 1.611565450294074071e+04
4.039268903118414578e+00 1.807764457036029853e+04
4.035745291023382642e+00 2.027856867236401740e+04
4.032457438374457581e+00 2.274648404502536505e+04
4.029388862659363468e+00 2.551426406546518410e+04
4.026835022898288763e+00 2.862014819603296928e+04
4.024547325971909117e+00 3.210366588842853889e+04
4.022274159790211634e+00 3.600983445558106905e+04
4.020257683397079340e+00 4.039285386320159159e+04
4.018600471862380452e+00 4.531216814293643256e+04
4.017199831753998751e+00 5.083157034882652079e+04
4.016020247175084101e+00 5.702343337018082821e+04
4.014973436054566136e+00 6.397013351826606231e+04
4.013964154354295211e+00 7.176421686423313804e+04
4.012979292814570442e+00 8.050803099968517199e+04
4.012201436022096779e+00 9.031879947186844947e+04
4.011785557558443571e+00 1.013332355388273572e+05
4.011571807796923572e+00 1.136976702734229330e+05
4.011441660724672786e+00 1.275719024665912584e+05
4.011413995458486426e+00 1.431389392041418469e+05
4.011480672871323705e+00 1.606101313375143509e+05
4.011619319980047393e+00 1.802228935408668185e+05
4.011901468223403100e+00 2.022391882583402039e+05
4.012475579903291845e+00 2.269573738347570179e+05
